park_name,category,subcategory,civic_no,street,address,city,province,country,latitude,longitude,name,desc,color,source,precision
IDLEWOOD CREEK - SWP#C,OPEN SPACE,OPEN SPACE/SWM,895,FAIRWAY RD N,895 FAIRWAY RD N,KITCHENER,ONTARIO,CANADA,43.4287407,-80.4319771,"FAIRWAY RD N, KITCHENER, ONTARIO, CANADA","Fairway Rd N, Kitchener, ON N2A, Canada",,Bing Maps,street
MIKE WAGNER GREEN (MILL ST),GREENWAY,OPEN SPACE/TRAIL,54,MILL ST,54 MILL ST,KITCHENER,ONTARIO,CANADA,43.4357643,-80.4856305,"MILL ST, KITCHENER, ONTARIO, CANADA","Mill St, Kitchener, ON N2M, Canada",,Bing Maps,street
DOON SOUTH CREEK NATURAL AREA 1,NATURAL AREA,PASSIVE AREA,,STAUFFER DR,STAUFFER DR,KITCHENER,ONTARIO,CANADA,43.3756489,-80.4448755,"STAUFFER DR, KITCHENER, ONTARIO, CANADA","Stauffer Dr, Kitchener, ON N2P, Canada",,Bing Maps,street
UPPER CANADA PARK - SWP,OPEN SPACE,OPEN SPACE/SWM,130,PIONEER DR,130 PIONEER DR,KITCHENER,ONTARIO,CANADA,43.3939,-80.4404702,"PIONEER DR, KITCHENER, ONTARIO, CANADA","Pioneer Dr, Kitchener, ON N2P, Canada",,Bing Maps,street
BORDEN CREEK GREENWAY,GREENWAY,PASSIVE AREA,,OTTAWA ST S,OTTAWA ST S,KITCHENER,ONTARIO,CANADA,43.4371667,-80.476698,"OTTAWA ST S, KITCHENER, ONTARIO, CANADA","Ottawa St S, Kitchener, ON N2G, Canada",,Bing Maps,street
FILSINGER PARK GREENWAY,GREENWAY,HYDRO CORRIDOR,,WESTMOUNT RD W,WESTMOUNT RD W,KITCHENER,ONTARIO,CANADA,43.4359032,-80.5143475,"WESTMOUNT RD W, KITCHENER, ONTARIO, CANADA","Westmount Rd W, Kitchener, ON N2M, Canada",,Bing Maps,street
FILSINGER PARK WEST NATURAL AREA,NATURAL AREA,HYDRO CORRIDOR,,WESTMOUNT RD W,WESTMOUNT RD W,KITCHENER,ONTARIO,CANADA,43.4359032,-80.5143475,"WESTMOUNT RD W, KITCHENER, ONTARIO, CANADA","Westmount Rd W, Kitchener, ON N2M, Canada",,Bing Maps,street
FOREST WEST PARK,NEIGHBOURHOOD PARK,OPEN SPACE/TRAIL,155,HIGHVIEW DR,155 HIGHVIEW DR,KITCHENER,ONTARIO,CANADA,43.415577,-80.5478274,"HIGHVIEW DR, KITCHENER, ONTARIO, CANADA","Highview Dr, Kitchener, ON N2N, Canada",,Bing Maps,street
FOREST WEST PARK (HYDRO),NEIGHBOURHOOD PARK,HYDRO CORRIDOR,,HIGHVIEW DR,HIGHVIEW DR,KITCHENER,ONTARIO,CANADA,43.415577,-80.5478274,"HIGHVIEW DR, KITCHENER, ONTARIO, CANADA","Highview Dr, Kitchener, ON N2N, Canada",,Bing Maps,street
HYDRO CORRIDOR TRAIL/STAUFFER COMMUNITY PARK,OPEN SPACE,PARK,,STAUFFER DR,STAUFFER DR,KITCHENER,ONTARIO,CANADA,43.3756489,-80.4448755,"STAUFFER DR, KITCHENER, ONTARIO, CANADA","Stauffer Dr, Kitchener, ON N2P, Canada",,Bing Maps,street
DODGE DRIVE - SWP#A,OPEN SPACE,OPEN SPACE/SWM,200,DODGE DR,200 DODGE DR,KITCHENER,ONTARIO,CANADA,43.3718112,-80.4271865,"DODGE DR, KITCHENER, ONTARIO, CANADA","Dodge Dr, Kitchener, ON N2P, Canada",,Bing Maps,street
HYDRO CORRIDOR TRAIL,OPEN SPACE,OPEN SPACE/TRAIL,85,BANFFSHIRE ST,85 BANFFSHIRE ST,KITCHENER,ONTARIO,CANADA,43.3872599,-80.4716274,"BANFFSHIRE ST, KITCHENER, ONTARIO, CANADA","Banffshire St, Kitchener, ON N2R, Canada",,Bing Maps,street
HYDRO CORRIDOR TRAIL,OPEN SPACE,PASSIVE AREA,85,BANFFSHIRE ST,85 BANFFSHIRE ST,KITCHENER,ONTARIO,CANADA,43.3872599,-80.4716274,"BANFFSHIRE ST, KITCHENER, ONTARIO, CANADA","Banffshire St, Kitchener, ON N2R, Canada",,Bing Maps,street
HYDRO CORRIDOR TRAIL,OPEN SPACE,OPEN SPACE/TRAIL,85,BANFFSHIRE ST,85 BANFFSHIRE ST,KITCHENER,ONTARIO,CANADA,43.3872599,-80.4716274,"BANFFSHIRE ST, KITCHENER, ONTARIO, CANADA","Banffshire St, Kitchener, ON N2R, Canada",,Bing Maps,street
HYDRO CORRIDOR TRAIL,OPEN SPACE,OPEN SPACE/TRAIL,,RIVER RD E,RIVER RD E,KITCHENER,ONTARIO,CANADA,43.4581692,-80.4527454,"RIVER RD E, KITCHENER, ONTARIO, CANADA","River Rd E, Kitchener, ON N2B, Canada",,Bing Maps,street
HYDRO CORRIDOR TRAIL,OPEN SPACE,OPEN SPACE/TRAIL,,RIVER RD E,RIVER RD E,KITCHENER,ONTARIO,CANADA,43.4581692,-80.4527454,"RIVER RD E, KITCHENER, ONTARIO, CANADA","River Rd E, Kitchener, ON N2B, Canada",,Bing Maps,street
HYDRO CORRIDOR TRAIL,OPEN SPACE,OPEN SPACE/TRAIL,,RIVER RD E,RIVER RD E,KITCHENER,ONTARIO,CANADA,43.4581692,-80.4527454,"RIVER RD E, KITCHENER, ONTARIO, CANADA","River Rd E, Kitchener, ON N2B, Canada",,Bing Maps,street
HYDRO CORRIDOR TRAIL,OPEN SPACE,OPEN SPACE/TRAIL,,RIVER RD E,RIVER RD E,KITCHENER,ONTARIO,CANADA,43.4581692,-80.4527454,"RIVER RD E, KITCHENER, ONTARIO, CANADA","River Rd E, Kitchener, ON N2B, Canada",,Bing Maps,street
HYDRO CORRIDOR TRAIL,OPEN SPACE,OPEN SPACE/TRAIL,,RIVER RD E,RIVER RD E,KITCHENER,ONTARIO,CANADA,43.4581692,-80.4527454,"RIVER RD E, KITCHENER, ONTARIO, CANADA","River Rd E, Kitchener, ON N2B, Canada",,Bing Maps,street
HYDRO CORRIDOR TRAIL,OPEN SPACE,OPEN SPACE/TRAIL,,RIVER RD E,RIVER RD E,KITCHENER,ONTARIO,CANADA,43.4581692,-80.4527454,"RIVER RD E, KITCHENER, ONTARIO, CANADA","River Rd E, Kitchener, ON N2B, Canada",,Bing Maps,street
HYDRO CORRIDOR TRAIL,OPEN SPACE,OPEN SPACE/TRAIL,,RIVER RD E,RIVER RD E,KITCHENER,ONTARIO,CANADA,43.4581692,-80.4527454,"RIVER RD E, KITCHENER, ONTARIO, CANADA","River Rd E, Kitchener, ON N2B, Canada",,Bing Maps,street
HYDRO CORRIDOR TRAIL,OPEN SPACE,OPEN SPACE/TRAIL,,RIVER RD E,RIVER RD E,KITCHENER,ONTARIO,CANADA,43.4581692,-80.4527454,"RIVER RD E, KITCHENER, ONTARIO, CANADA","River Rd E, Kitchener, ON N2B, Canada",,Bing Maps,street
HYDRO CORRIDOR TRAIL,OPEN SPACE,OPEN SPACE/TRAIL,,RIVER RD E,RIVER RD E,KITCHENER,ONTARIO,CANADA,43.4581692,-80.4527454,"RIVER RD E, KITCHENER, ONTARIO, CANADA","River Rd E, Kitchener, ON N2B, Canada",,Bing Maps,street
HYDRO CORRIDOR TRAIL,OPEN SPACE,OPEN SPACE/TRAIL,,RIVER RD E,RIVER RD E,KITCHENER,ONTARIO,CANADA,43.4581692,-80.4527454,"RIVER RD E, KITCHENER, ONTARIO, CANADA","River Rd E, Kitchener, ON N2B, Canada",,Bing Maps,street
HYDRO CORRIDOR TRAIL,OPEN SPACE,OPEN SPACE/TRAIL,,RIVER RD E,RIVER RD E,KITCHENER,ONTARIO,CANADA,43.4581692,-80.4527454,"RIVER RD E, KITCHENER, ONTARIO, CANADA","River Rd E, Kitchener, ON N2B, Canada",,Bing Maps,street
HYDRO CORRIDOR TRAIL,OPEN SPACE,OPEN SPACE/TRAIL,,GREEN WATER ST,GREEN WATER ST,KITCHENER,ONTARIO,CANADA,43.4551773,-80.5106128,"GREEN WATER ST, KITCHENER, ONTARIO, CANADA","Green St, Kitchener, ON N2G, Canada",,Bing Maps,street
HYDRO CORRIDOR TRAIL,OPEN SPACE,OPEN SPACE/TRAIL,,GREEN WATER ST,GREEN WATER ST,KITCHENER,ONTARIO,CANADA,43.4551773,-80.5106128,"GREEN WATER ST, KITCHENER, ONTARIO, CANADA","Green St, Kitchener, ON N2G, Canada",,Bing Maps,street
HYDRO CORRIDOR TRAIL,OPEN SPACE,OPEN SPACE/TRAIL,,GREEN WATER ST,GREEN WATER ST,KITCHENER,ONTARIO,CANADA,43.4551773,-80.5106128,"GREEN WATER ST, KITCHENER, ONTARIO, CANADA","Green St, Kitchener, ON N2G, Canada",,Bing Maps,street
HYDRO CORRIDOR TRAIL,OPEN SPACE,OPEN SPACE/TRAIL,,GREEN WATER ST,GREEN WATER ST,KITCHENER,ONTARIO,CANADA,43.4551773,-80.5106128,"GREEN WATER ST, KITCHENER, ONTARIO, CANADA","Green St, Kitchener, ON N2G, Canada",,Bing Maps,street
HYDRO CORRIDOR TRAIL,OPEN SPACE,OPEN SPACE/TRAIL,,GREEN WATER ST,GREEN WATER ST,KITCHENER,ONTARIO,CANADA,43.4551773,-80.5106128,"GREEN WATER ST, KITCHENER, ONTARIO, CANADA","Green St, Kitchener, ON N2G, Canada",,Bing Maps,street
HYDRO CORRIDOR TRAIL,OPEN SPACE,OPEN SPACE/TRAIL,,GREEN WATER ST,GREEN WATER ST,KITCHENER,ONTARIO,CANADA,43.4551773,-80.5106128,"GREEN WATER ST, KITCHENER, ONTARIO, CANADA","Green St, Kitchener, ON N2G, Canada",,Bing Maps,street
HYDRO CORRIDOR TRAIL,OPEN SPACE,HYDRO CORRIDOR,,GREEN WATER ST,GREEN WATER ST,KITCHENER,ONTARIO,CANADA,43.4551773,-80.5106128,"GREEN WATER ST, KITCHENER, ONTARIO, CANADA","Green St, Kitchener, ON N2G, Canada",,Bing Maps,street
FOREST HEIGHTS COMMUNITY TRAIL,OPEN SPACE,OPEN SPACE/TRAIL,238,DRIFTWOOD DR,238 DRIFTWOOD DR,KITCHENER,ONTARIO,CANADA,43.4178885,-80.5401276,"DRIFTWOOD DR, KITCHENER, ONTARIO, CANADA","Driftwood Dr, Kitchener, ON N2N, Canada",,Bing Maps,street
FOREST HEIGHTS COMMUNITY TRAIL (HYDRO),OPEN SPACE,OPEN SPACE/TRAIL,,DRIFTWOOD DR,DRIFTWOOD DR,KITCHENER,ONTARIO,CANADA,43.4178885,-80.5401276,"DRIFTWOOD DR, KITCHENER, ONTARIO, CANADA","Driftwood Dr, Kitchener, ON N2N, Canada",,Bing Maps,street
FOREST HEIGHTS COMMUNITY TRAIL (HYDRO),OPEN SPACE,OPEN SPACE/TRAIL,,DRIFTWOOD DR,DRIFTWOOD DR,KITCHENER,ONTARIO,CANADA,43.4178885,-80.5401276,"DRIFTWOOD DR, KITCHENER, ONTARIO, CANADA","Driftwood Dr, Kitchener, ON N2N, Canada",,Bing Maps,street
FOREST HEIGHTS COMMUNITY TRAIL (HYDRO),OPEN SPACE,OPEN SPACE/TRAIL,,ROYAL ORCHARD DR,ROYAL ORCHARD DR,KITCHENER,ONTARIO,CANADA,43.415522,-80.532271,"ROYAL ORCHARD DR, KITCHENER, ONTARIO, CANADA","Royal Orchard Dr, Kitchener, ON N2N, Canada",,Bing Maps,street
FOREST HEIGHTS COMMUNITY TRAIL (HYDRO),OPEN SPACE,OPEN SPACE/TRAIL,,ROYAL ORCHARD DR,ROYAL ORCHARD DR,KITCHENER,ONTARIO,CANADA,43.415522,-80.532271,"ROYAL ORCHARD DR, KITCHENER, ONTARIO, CANADA","Royal Orchard Dr, Kitchener, ON N2N, Canada",,Bing Maps,street
BORDEN WETLANDS SWP#A,OPEN SPACE,OPEN SPACE/SWM,60,COPPER LEAF ST,60 COPPER LEAF ST,KITCHENER,ONTARIO,CANADA,43.4039915,-80.507721,"COPPER LEAF ST, KITCHENER, ONTARIO, CANADA","Copper Leaf St, Kitchener, ON N2E, Canada",,Bing Maps,street
BORDEN WETLANDS SWP#B,OPEN SPACE,OPEN SPACE/SWM,1085,FISCHER HALLMAN RD,1085 FISCHER HALLMAN RD,KITCHENER,ONTARIO,CANADA,43.4213466,-80.5164913,"FISCHER HALLMAN RD, KITCHENER, ONTARIO, CANADA","Fischer Hallman Rd, Kitchener, ON N2M, Canada",,Bing Maps,street
BORDEN WETLANDS SWP#C,OPEN SPACE,OPEN SPACE/SWM,,COTTON GRASS ST,COTTON GRASS ST,KITCHENER,ONTARIO,CANADA,43.4062319,-80.5056333,"COTTON GRASS ST, KITCHENER, ONTARIO, CANADA","Cotton Grass St, Kitchener, ON N2E, Canada",,Bing Maps,street
BORDEN WETLANDS SWP#D,OPEN SPACE,OPEN SPACE/SWM,168,BUSH CLOVER CRES,168 BUSH CLOVER CRES,KITCHENER,ONTARIO,CANADA,43.4101219,-80.5094973,"BUSH CLOVER CRES, KITCHENER, ONTARIO, CANADA","Bush Clover Crescent, Kitchener, ON N2E, Canada",,Bing Maps,street
KOLB VALLEY NATURAL AREA,GREENWAY,OPEN SPACE,,ROTHSAY AVE TO OTTAWA ST N,ROTHSAY AVE TO OTTAWA ST N,KITCHENER,ONTARIO,CANADA,43.4439711,-80.4674706,"ROTHSAY AVE TO OTTAWA ST N, KITCHENER, ONTARIO, CANADA","Ottawa St N, Kitchener, ON N2H, Canada",,Bing Maps,street
HIDDEN VALLEY CRESCENT PARK,NEIGHBOURHOOD PARK,PARK,2100,HIDDEN VALLEY CRESCENT,2100 HIDDEN VALLEY CRESCENT,KITCHENER,ONTARIO,CANADA,43.4139044,-80.4190148,"HIDDEN VALLEY CRESCENT, KITCHENER, ONTARIO, CANADA","Hidden Valley Crescent, Kitchener, ON N2C, Canada",,Bing Maps,street
HOMER WATSON BLVD - SWP,OPEN SPACE,OPEN SPACE/SWM,155,BULLOCK ST,155 BULLOCK ST,KITCHENER,ONTARIO,CANADA,43.40643,-80.4552266,"BULLOCK ST, KITCHENER, ONTARIO, CANADA","Bullock St, Kitchener, ON N2C, Canada",,Bing Maps,street
BALZER GREENWAY EAST NATURAL AREA,GREENWAY,OPEN SPACE/WETLAND,255,FALLOWFIELD DR,255 FALLOWFIELD DR,KITCHENER,ONTARIO,CANADA,43.4168086,-80.4620654,"FALLOWFIELD DR, KITCHENER, ONTARIO, CANADA","Fallowfield Dr, Kitchener, ON N2C, Canada",,Bing Maps,street
RBJ SCHLEGEL PARK,DISTRICT PARK,MAJOR SPORTSFIELD,1664,HURON RD,1664 HURON RD,KITCHENER,ONTARIO,CANADA,43.3919706,-80.4664175,"HURON RD, KITCHENER, ONTARIO, CANADA","Huron Rd, Kitchener, ON N2R, Canada",,Bing Maps,street
RADDATZ PARK,NEIGHBOURHOOD PARK,PASSIVE AREA,110,GAGE AVE,110 GAGE AVE,KITCHENER,ONTARIO,CANADA,43.447291,-80.5144295,"GAGE AVE, KITCHENER, ONTARIO, CANADA","Gage Ave, Kitchener, ON N2M, Canada",,Bing Maps,street
WESTWOOD PARK,NEIGHBOURHOOD PARK,PLAY AREA,175,WESTWOOD DR,175 WESTWOOD DR,KITCHENER,ONTARIO,CANADA,43.4450149,-80.5288515,"WESTWOOD DR, KITCHENER, ONTARIO, CANADA","Westwood Dr, Kitchener, ON N2M, Canada",,Bing Maps,street
WESTWOOD PARK NATURAL AREA,NATURAL AREA,OPEN SPACE/WOODLAND,,WESTWOOD DR,WESTWOOD DR,KITCHENER,ONTARIO,CANADA,43.4450149,-80.5288515,"WESTWOOD DR, KITCHENER, ONTARIO, CANADA","Westwood Dr, Kitchener, ON N2M, Canada",,Bing Maps,street
DODGE DRIVE - SWP#B,OPEN SPACE,OPEN SPACE/SWM,455,BLAIR CREEK DR,455 BLAIR CREEK DR,KITCHENER,ONTARIO,CANADA,43.3717976,-80.4299264,"BLAIR CREEK DR, KITCHENER, ONTARIO, CANADA","Blair Creek Dr, Kitchener, ON N2P, Canada",,Bing Maps,street
DOON SOUTH PARK NATURAL AREA,NATURAL AREA,TO INPUT,537,BLAIR CREEK DR,537 BLAIR CREEK DR,KITCHENER,ONTARIO,CANADA,43.3717976,-80.4299264,"BLAIR CREEK DR, KITCHENER, ONTARIO, CANADA","Blair Creek Dr, Kitchener, ON N2P, Canada",,Bing Maps,street
BIEHN DR - SWP,OPEN SPACE,OPEN SPACE/SWM,,BIEHN DR,BIEHN DR,KITCHENER,ONTARIO,CANADA,43.3960229,-80.4554545,"BIEHN DR, KITCHENER, ONTARIO, CANADA","Biehn Dr, Kitchener, ON N2R, Canada",,Bing Maps,street
MAXWELL DR - SWP,OPEN SPACE,OPEN SPACE/SWM,127,BIEHN DR,127 BIEHN DR,KITCHENER,ONTARIO,CANADA,43.3960229,-80.4554545,"BIEHN DR, KITCHENER, ONTARIO, CANADA","Biehn Dr, Kitchener, ON N2R, Canada",,Bing Maps,street
DOON CREEK NA - SWP,OPEN SPACE,OPEN SPACE/SWM,553,DOON SOUTH DR,553 DOON SOUTH DR,KITCHENER,ONTARIO,CANADA,43.3762162,-80.4338862,"DOON SOUTH DR, KITCHENER, ONTARIO, CANADA","Doon South Dr, Kitchener, ON N2P, Canada",,Bing Maps,street
KNOX CRT - SWP,OPEN SPACE,OPEN SPACE/SWM,53,KNOX CRT,53 KNOX CRT,KITCHENER,ONTARIO,CANADA,43.3809223,-80.4359116,"KNOX CRT, KITCHENER, ONTARIO, CANADA","Knox Crt, Kitchener, ON N2P, Canada",,Bing Maps,street
RIDGEMERE ST - SWP,OPEN SPACE,OPEN SPACE/SWM,247,PINE VALLEY DR,247 PINE VALLEY DR,KITCHENER,ONTARIO,CANADA,43.3855205,-80.4321548,"PINE VALLEY DR, KITCHENER, ONTARIO, CANADA","Pine Valley Dr, Kitchener, ON N2P, Canada",,Bing Maps,street
PINE VALLEY DR - SWP,OPEN SPACE,OPEN SPACE/SWM,125,PINE VALLEY DR,125 PINE VALLEY DR,KITCHENER,ONTARIO,CANADA,43.3855205,-80.4321548,"PINE VALLEY DR, KITCHENER, ONTARIO, CANADA","Pine Valley Dr, Kitchener, ON N2P, Canada",,Bing Maps,street
DOON MILLS DR - SWP,OPEN SPACE,OPEN SPACE/SWM,111,DOON MILLS DR,111 DOON MILLS DR,KITCHENER,ONTARIO,CANADA,43.3852262,-80.4306431,"DOON MILLS DR, KITCHENER, ONTARIO, CANADA","Doon Mills Dr, Kitchener, ON N2P, Canada",,Bing Maps,street
GRAND RIVER NATURAL AREA - PETRIFYING SPRING,NATURAL AREA,OPEN SPACE/WOODLAND,875,WABANAKI DR,875 WABANAKI DR,KITCHENER,ONTARIO,CANADA,43.421712,-80.436133,"WABANAKI DR, KITCHENER, ONTARIO, CANADA","Wabanaki Dr, Kitchener, ON N2C, Canada",,Bing Maps,street
GILDNER GREEN,GREEN (PARKETTE),PASSIVE AREA,29,EDEN AVE,29 EDEN AVE,KITCHENER,ONTARIO,CANADA,43.453956,-80.5170393,"EDEN AVE, KITCHENER, ONTARIO, CANADA","Eden Ave, Kitchener, ON N2G, Canada",,Bing Maps,street
TYSON PARK,NEIGHBOURHOOD PARK,FACILITY PROPERTY,20,TYSON DR,20 TYSON DR,KITCHENER,ONTARIO,CANADA,43.4828487,-80.4783307,"TYSON DR, KITCHENER, ONTARIO, CANADA","Tyson Dr, Kitchener, ON N2K, Canada",,Bing Maps,street
WOODSIDE GREEN,GREEN,PASSIVE AREA,,QUEEN ST S,QUEEN ST S,KITCHENER,ONTARIO,CANADA,43.4441281,-80.4950451,"QUEEN ST S, KITCHENER, ONTARIO, CANADA","Queen St S, Kitchener, ON N2G, Canada",,Bing Maps,street
ALPINE PARK,NEIGHBOURHOOD PARK,MINOR SPORTSFIELD,175,KINGSWOOD DR,175 KINGSWOOD DR,KITCHENER,ONTARIO,CANADA,43.4208041,-80.4749999,"KINGSWOOD DR, KITCHENER, ONTARIO, CANADA","Kingswood Dr, Kitchener, ON N2E, Canada",,Bing Maps,street
CEDAR CREST PARK NATURAL AREA,NATURAL AREA,TO INPUT,92,CEDAR CREST ST,92 CEDAR CREST ST,KITCHENER,ONTARIO,CANADA,43.4130305,-80.5414338,"CEDAR CREST ST, KITCHENER, ONTARIO, CANADA","Cedar Crest St, Kitchener, ON N2N, Canada",,Bing Maps,street
COUNTRYSTONE PARK NATURAL AREA,NATURAL AREA,TO INPUT,1086,COUNTRYSTONE DR,1086 COUNTRYSTONE DR,KITCHENER,ONTARIO,CANADA,43.4376424,-80.5530452,"COUNTRYSTONE DR, KITCHENER, ONTARIO, CANADA","Countrystone Dr, Kitchener, ON N2N, Canada",,Bing Maps,street
DEER RIDGE PARK,NEIGHBOURHOOD PARK,TO INPUT,471,DEER RIDGE DR,471 DEER RIDGE DR,KITCHENER,ONTARIO,CANADA,43.4028885,-80.4170705,"DEER RIDGE DR, KITCHENER, ONTARIO, CANADA","Deer Ridge Dr, Kitchener, ON N2P, Canada",,Bing Maps,street
DOON SOUTH PARK,NEIGHBOURHOOD PARK,TO INPUT,537,BLAIR CREEK DR,537 BLAIR CREEK DR,KITCHENER,ONTARIO,CANADA,43.3717976,-80.4299264,"BLAIR CREEK DR, KITCHENER, ONTARIO, CANADA","Blair Creek Dr, Kitchener, ON N2P, Canada",,Bing Maps,street
EASTFOREST PARK NATURAL AREA,NATURAL AREA,OPEN SPACE/WOODLAND,140,EASTFOREST TRAIL,140 EASTFOREST TRAIL,KITCHENER,ONTARIO,CANADA,43.4328474,-80.538877,"EASTFOREST TRAIL, KITCHENER, ONTARIO, CANADA","Eastforest Trail, Kitchener, ON N2N, Canada",,Bing Maps,street
FILSINGER PARK GREENWAY,GREENWAY,TO INPUT,,WESTMOUNT RD W,WESTMOUNT RD W,KITCHENER,ONTARIO,CANADA,43.4359032,-80.5143475,"WESTMOUNT RD W, KITCHENER, ONTARIO, CANADA","Westmount Rd W, Kitchener, ON N2M, Canada",,Bing Maps,street
FILSINGER PARK GREENWAY,GREENWAY,TO INPUT,,WESTMOUNT RD W,WESTMOUNT RD W,KITCHENER,ONTARIO,CANADA,43.4359032,-80.5143475,"WESTMOUNT RD W, KITCHENER, ONTARIO, CANADA","Westmount Rd W, Kitchener, ON N2M, Canada",,Bing Maps,street
WILSON PARK,DISTRICT PARK,TO INPUT,72,WILSON AVE,72 WILSON AVE,KITCHENER,ONTARIO,CANADA,43.428726,-80.4590555,"WILSON AVE, KITCHENER, ONTARIO, CANADA","Wilson Ave, Kitchener, ON N2C, Canada",,Bing Maps,street
WILSON PARK,DISTRICT PARK,TO INPUT,72,WILSON AVE,72 WILSON AVE,KITCHENER,ONTARIO,CANADA,43.428726,-80.4590555,"WILSON AVE, KITCHENER, ONTARIO, CANADA","Wilson Ave, Kitchener, ON N2C, Canada",,Bing Maps,street
WESTHEIGHTS PARK,NEIGHBOURHOOD PARK,TO INPUT,401,WESTHEIGHTS DR,401 WESTHEIGHTS DR,KITCHENER,ONTARIO,CANADA,43.4282645,-80.5306159,"WESTHEIGHTS DR, KITCHENER, ONTARIO, CANADA","Westheights Dr, Kitchener, ON N2N, Canada",,Bing Maps,street
DOON VILLAGE GREEN,GREEN,OPEN SPACE/TRAIL,135,PIONEER DR,135 PIONEER DR,KITCHENER,ONTARIO,CANADA,43.3939,-80.4404702,"PIONEER DR, KITCHENER, ONTARIO, CANADA","Pioneer Dr, Kitchener, ON N2P, Canada",,Bing Maps,street
BIEHN PARK,NEIGHBOURHOOD PARK,MINOR SPORTSFIELD,135,PIONEER DR,135 PIONEER DR,KITCHENER,ONTARIO,CANADA,43.3939,-80.4404702,"PIONEER DR, KITCHENER, ONTARIO, CANADA","Pioneer Dr, Kitchener, ON N2P, Canada",,Bing Maps,street
UPPER CANADA PARK NATURAL AREA,DISTRICT PARK,TO INPUT,120,PIONEER DR,120 PIONEER DR,KITCHENER,ONTARIO,CANADA,43.3939,-80.4404702,"PIONEER DR, KITCHENER, ONTARIO, CANADA","Pioneer Dr, Kitchener, ON N2P, Canada",,Bing Maps,street
TRAILVIEW PARK,NEIGHBOURHOOD PARK,TO INPUT,21,TRAILVIEW DRIVE,21 TRAILVIEW DRIVE,KITCHENER,ONTARIO,CANADA,43.4266808,-80.5345236,"TRAILVIEW DRIVE, KITCHENER, ONTARIO, CANADA","Trailview Dr, Kitchener, ON N2N, Canada",,Bing Maps,street
SPRINGMOUNT PARK,NEIGHBOURHOOD PARK,TO INPUT,27,SPRINGMOUNT DR,27 SPRINGMOUNT DR,KITCHENER,ONTARIO,CANADA,43.4478566,-80.4245268,"SPRINGMOUNT DR, KITCHENER, ONTARIO, CANADA","Springmount Dr, Kitchener, ON N2A, Canada",,Bing Maps,street
PAIGE PARK,NEIGHBOURHOOD PARK,TO INPUT,235,PAIGE PL,235 PAIGE PL,KITCHENER,ONTARIO,CANADA,43.4762793,-80.4685942,"PAIGE PL, KITCHENER, ONTARIO, CANADA","Paige Pl, Kitchener, ON N2K, Canada",,Bing Maps,street
MILLWOOD PARK NATURAL AREA,NEIGHBOURHOOD PARK,TO INPUT,130,MILLWOOD CRES,130 MILLWOOD CRES,KITCHENER,ONTARIO,CANADA,43.3978971,-80.4493905,"MILLWOOD CRES, KITCHENER, ONTARIO, CANADA","Millwood Crescent, Kitchener, ON N2P, Canada",,Bing Maps,street
BRIGADOON PARK,NEIGHBOURHOOD PARK,TO INPUT,127,BIEHN DR,127 BIEHN DR,KITCHENER,ONTARIO,CANADA,43.3960229,-80.4554545,"BIEHN DR, KITCHENER, ONTARIO, CANADA","Biehn Dr, Kitchener, ON N2R, Canada",,Bing Maps,street
LAKESIDE PARK,NEIGHBOURHOOD PARK,OPEN SPACE,140,LAKESIDE DR,140 LAKESIDE DR,KITCHENER,ONTARIO,CANADA,43.431812,-80.5015595,"LAKESIDE DR, KITCHENER, ONTARIO, CANADA","Lakeside Dr, Kitchener, ON N2M, Canada",,Bing Maps,street
KUNTZ PARK NATURAL AREA,NEIGHBOURHOOD PARK,TO INPUT,290,LOOKOUT LANE,290 LOOKOUT LANE,KITCHENER,ONTARIO,CANADA,43.4046538,-80.4172672,"LOOKOUT LANE, KITCHENER, ONTARIO, CANADA","Lookout Lane, Kitchener, ON N2P, Canada",,Bing Maps,street
IDLEWOOD PARK NATURAL AREA,NATURAL AREA,TO INPUT,5,THALER AVE,5 THALER AVE,KITCHENER,ONTARIO,CANADA,43.4342695,-80.4314161,"THALER AVE, KITCHENER, ONTARIO, CANADA","Thaler Ave, Kitchener, ON N2A, Canada",,Bing Maps,street
IDLEWOOD PARK,NATURAL AREA,TO INPUT,5,THALER AVE,5 THALER AVE,KITCHENER,ONTARIO,CANADA,43.4342695,-80.4314161,"THALER AVE, KITCHENER, ONTARIO, CANADA","Thaler Ave, Kitchener, ON N2A, Canada",,Bing Maps,street
DOON SOUTH CREEK TRAIL,OPEN SPACE,OPEN SPACE/TRAIL,,SOUTH CREEK DR,SOUTH CREEK DR,KITCHENER,ONTARIO,CANADA,43.3738601,-80.4410448,"SOUTH CREEK DR, KITCHENER, ONTARIO, CANADA","S Creek Dr, Kitchener, ON N2P, Canada",,Bing Maps,street
LYNNVALLEY PARK,NEIGHBOURHOOD PARK,OPEN SPACE/TRAIL,26,LYNNVALLEY CRES,26 LYNNVALLEY CRES,KITCHENER,ONTARIO,CANADA,43.4393434,-80.4233487,"LYNNVALLEY CRES, KITCHENER, ONTARIO, CANADA","Lynn Crt, Kitchener, ON N2A, Canada",,Bing Maps,street
